Date,Time,LogType,CurrentStatus,LatchedStatus,GeneralStatus,ProductNumber,BPMSet,TargetWeight,FullBagCount,TotalDumpWeight,IF5_CurrentStatus,IF5_WarningStatus,IF5_HopperLevel,IF5_TotalBase,IF5_TotalDry,IF5_TotalLIS,IF5_Total,IF5_DryPercent,IF5_OilPercent,IF5_LISPercent,IF5_WC_ConversionFactor
18/06/2021,07:15:59,S,692,650,3,1,50,151,2074,313637,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:16:01,S,7,7,3,1,50,151,2074,313637,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:16:03,S,300,7,3,1,50,151,2074,313637,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:16:05,S,550,7,3,1,50,151,2075,313637,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:16:23,S,600,7,1,1,50,151,2075,313637,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:16:28,S,650,650,1,1,50,151,2075,313788,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:16:58,T,650,650,1,1,50,151,2099,317412,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:17:29,T,650,650,1,1,50,151,2107,318470,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:18:00,T,650,650,1,1,50,151,2125,321339,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:18:31,T,650,650,1,1,50,151,2149,324964,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:19:01,T,650,650,1,1,50,151,2172,328290,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:19:32,T,650,650,1,1,50,151,2192,331464,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:20:03,T,650,650,1,1,50,151,2218,335391,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:20:34,T,650,650,1,1,50,151,2236,338261,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:21:05,T,650,650,1,1,50,151,2260,341737,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:21:35,T,650,650,1,1,50,151,2285,345513,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:22:06,T,650,650,1,1,50,151,2301,348082,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:22:37,T,650,650,1,1,50,151,2320,350801,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:23:08,T,650,650,1,1,50,151,2339,353671,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:23:39,T,650,650,1,1,50,151,2359,356542,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:24:09,T,650,650,2,1,50,151,2371,358354,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:24:40,T,650,650,1,1,50,151,2388,361073,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:25:11,T,650,650,1,1,50,151,2409,364245,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:25:42,T,650,650,1,1,50,151,2434,368021,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:26:12,T,650,650,1,1,50,151,2455,371194,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:26:43,T,650,650,1,1,50,151,2478,374667,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:27:14,T,650,650,1,1,50,151,2495,377236,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:27:45,T,650,650,1,1,50,151,2515,380260,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:28:16,T,650,650,1,1,50,151,2540,384038,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:28:46,T,650,650,1,1,50,151,2554,386001,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:29:17,T,650,650,1,1,50,151,2570,388568,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:29:48,T,650,650,1,1,50,151,2591,391743,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:30:19,T,650,650,1,1,50,151,2613,395069,0,0,0,0,0,0,0,0,0,0,0
